46626,1522734833 45618,8534399388 33419,6087447203 45874,6875217233 45088,5834883811 35330,8043356872
47565,375251101 46777,4147671533 35821,5968433107 47171,5214034241 46099,3772249343 36142,8502752298
48728,577600975 47910,081033469 36483,8626583962 47382,4243364946 46738,2567820733 37023,2051974488
50392,5552344676 48973,1115714908 37794,1163442445 47890,8811250974 47521,236375058 38138,2600939024
50476,1093041197 49824,9981588596 39897,4959125737 49499,457114522 48218,0034292279 37909,4111250603
52141,6841779991 50966,5384441226 39882,7974465751 49982,6979156284 48955,2827191087 40497,2649608371
53148,0487427401 51740,7780505011 39784,6019764779 51417,6898834742 49665,1309307233 40516,1327207075
53404,9994629991 52324,5668497489 42761,6127816246 51417,6898834742 50064,8843466239 42623,4897968221
53738,3120746679 52769,226959839 43306,2785608663 51711,2017086787 50358,2675220603 42841,8907191166
54515,713429222 53565,7378049345 44676,4963340346 52216,9881446873 50886,6214886028 42406,5442374661
55518,6751640019 54187,5747613804 46604,4859681252 52797,3852544237 51441,7532057717 44111,2218893009
55971,7953074587 54654,2369558361 47562,4710346701 53026,8810314048 51762,688423558 44979,1266353438
56413,0905980939 55065,1765398657 45705,6117580114 53355,93465592 52209,6720699224 45306,9127473927
56607,3371828085 55481,4246940238 48302,3313479591 53462,9485939331 52525,9087060332 44701,4023019399
57063,9644755535 55881,7187088618 48716,5888614653 53629,9056826005 52985,8783293707 44815,7425105649
57310,3845418618 56082,0180399069 48900,162742077 54516,7857209969 53266,9606902009 45958,2536100825
57602,5904614286 56461,5127412906 49642,5997366965 54516,7857209969 53480,1750986299 45276,1662154117
58001,9830180599 56799,2012989055 50444,4554331267 54714,6470704661 53770,0738533841 46681,3612699206
58481,9120159295 57124,1748840471 50410,9402653457 55382,7044408138 54102,4361241964 46341,5082939234
58578,8048931802 57309,1156379494 51856,3502105363 55388,8974123637 54432,6615934448 47052,0363508539
58679,0568831012 57588,2808892895 51756,0237356978 58660,0058012905 57501,2408489415 46505,6729152191
58986,2688365123 57862,9650985086 50831,5640952134 58731,2152106045 57569,32522653 49721,5448600574
59097,408678418 58029,6217855882 51370,8413834399 58782,2953870767 57747,0514478486 49855,8031690063
59108,4178019679 58197,3646262665 51865,6586234354 58782,2953870767 57867,428614704 50335,629362994
59375,2034547138 58429,5279365143 52053,3648287415 59042,387615149 58017,7092523895 49317,3051876112
59840,4220215136 58729,8960528812 52387,8361532675 59042,387615149 58119,0829546231 49228,1324942105
60008,6891785476 58941,690884128 52605,9705220454 59149,1173754323 58283,9801839132 51382,6542697917
60153,9534465247 59100,8268425134 53168,4024166756 59366,9612032563 58359,8410826028 50563,761051824
