47585,0208365865 47016,5077994719 35962,556991489 48129,6720183803 46897,299421701 37091,5038518966
50305,5651012838 48318,9703580907 37699,1040115467 48805,3342093772 47923,4438663804 38128,121318151
51845,9801563032 49592,2250920225 39168,5885901347 49957,2548527308 48798,8928430769 39210,2080201214
52064,4541698185 50354,0506580079 38959,3718038977 51073,4795770761 49614,2669434559 41099,6548319177
52762,7068456512 51196,8984224402 41517,6764370945 51602,2342050141 50362,8165949552 42110,9104042977
53351,6267804165 52031,8166838106 42185,1368557069 51602,2342050141 50806,2226368224 43274,6660108906
54091,7570347172 52686,5510832476 42024,7539911759 52602,2692730205 51572,2160336103 41945,9248458771
54429,0831804641 53785,3400051791 43396,6670197831 52997,8100923079 52085,3168047665 41212,5998605441
55116,0015334986 54156,222161483 43917,7152537221 53490,4896605546 52693,4426362295 44047,1079191569
56371,1729832843 54735,0118624549 43115,3459829122 53925,6351979446 53192,7247021372 44679,58707151
56371,1729832843 55101,537085305 44838,7469008459 54717,6756309916 53692,8358875291 45162,0932327059
56577,0086075315 55385,4986530326 47890,5819353937 54771,8262251558 54037,7415749707 46275,0213033324
57420,9011271501 56043,2862019882 47649,872420481 55673,8985932364 54580,2282017411 47085,985336956
57726,599643845 56431,6779088349 47525,3162772589 55885,1170386744 54776,4224299068 48033,4145358902
58907,3602393586 56879,6365821693 47523,7401902702 55891,5391840929 55013,4192584954 47866,9051335404
58907,3602393586 57149,6209313582 50040,6918952847 56200,1868871665 55402,2710341783 49051,1351391917
59386,9631621498 57581,2750679978 47904,4747373721 56242,627711041 55592,6313594325 48327,3428001011
59483,1175021813 57839,9693263094 49271,3689950361 56709,8116575136 55832,4404868676 48324,3711189643
59761,7306451158 58164,954279327 50332,8037452478 56993,9655296572 56170,2688753985 48217,5554186864
60687,481577186 58499,7283252167 51439,8280736802 57118,4071118861 56343,7300094528 49103,7481344519
60188,1647815463 58557,3576056194 49647,7035982985 60817,6532607256 58608,2607664921 47708,3562159407
60866,3565296324 58880,8880976845 50733,8782655596 60817,6532607256 58725,6799304202 51081,7225446808
