28429,2833974442 26803,1450072899 -6431,44011996785 26186,6665284403 23407,8349859073 -3758,11212370418
32531,5448819815 29179,2615750367 -3604,14991837653 29108,6326425765 26637,5173463994 3069,94400417621
32669,3633495371 30780,1326114722 774,948334927161 29453,9119409509 28043,4625255872 1075,84806928266
36042,5139334411 32821,3477018221 5749,72906967271 31411,1341084692 29523,4668896385 8660,8121998453
36436,4917536313 34332,7652350276 7279,83445604073 32163,8070321014 30649,0359646508 11486,1478351484
39191,8945305233 35965,9979924709 4790,7853148514 34270,2836937139 32071,5803951712 4685,41445586657
39324,0876291384 37599,4393913639 3224,28232266527 34799,5781640162 33465,4271884892 11903,3898202532
39465,1193918478 38900,5192270495 7706,77154375531 35931,0434601263 34562,9776266975 12682,3440490613
40983,2118013167 39612,6119900971 6774,00346278697 36779,3003292331 35316,1614659136 15297,4451917277
41743,6543179297 40712,1187270135 16664,6338768668 38290,5394250041 36539,1708307565 19071,933750813
42278,4715695642 41384,6829394637 -1548,63986618782 38502,5028732729 37091,5521131821 16310,2424295692
43308,0961839509 42099,069848068 12898,8579366524 40184,9616354262 37823,4910412016 16014,5461319464
44770,5313452403 43141,2123529798 20137,5539943609 40721,1268946121 38546,9887504046 18001,5002503627
44908,2978366314 43909,3579974439 18729,0431787374 41578,4774041439 39179,0146620064 19786,5234507436
47382,9079280378 44666,4953765067 20489,7666332457 42061,5142731087 39751,2965071061 19942,8355040459
47382,9079280378 45137,0397784448 16523,0946758217 42783,5421561602 40750,5404534755 20425,5613264885
47758,4021727073 45830,7226649566 20686,7466537001 43786,8430493667 41415,8566714075 23879,0941298742
48718,7287042415 46314,5687735337 25349,7319526817 44555,1416183061 42131,7818641714 22153,492119588
48854,869498358 46792,9636266554 21298,7620514769 45471,3955455031 42708,996910929 20239,5240725761
49414,076524806 47172,062416145 26468,709612497 45471,3955455031 43053,6629961841 23936,5121777444
49489,468548159 47445,5677221276 18692,7411111619 49696,2273843683 47417,364367044 28343,4336938294
50516,3981862282 47892,470955327 28534,9813905373 49696,2273843683 47674,7856845786 32016,696025865
50516,3981862282 48162,5831952833 27958,4461321486 49817,2408486874 47957,1532631118 34628,3833595962
50516,3981862282 48409,2483524147 16587,1389955985 49939,1063000537 48255,3642756038 29922,7084590094
51062,7620988253 48780,76241641 25169,2179687771 50077,8980636345 48465,0024418494 34956,3697682027
52122,0070331507 49072,6211083248 29966,1792473308 50339,1735089952 48677,4355831541 32076,3028448145
52377,444066941 49395,8842317887 28952,2007867184 50641,0741713161 48798,8779064597 31864,7262831696
52735,5822504067 49643,5156888383 26713,351419086 50732,0496689199 49068,7451939381 34986,3063862036
52735,5822504067 49845,977941676 28518,0369134469 50954,4737902319 49339,2891665908 34351,3861419597
52980,2627204851 50041,5282307218 28884,0155132985 51564,2082772388 49601,3615810493 34673,8747839857
53322,6944915119 50341,6970638234 30158,6313241837 51564,2082772388 49868,9083079412 33596,0759454478
53322,6944915119 50544,1196693542 29860,4111217871 51565,796743404 50106,1321338602 33731,4316166996
53322,6944915119 50981,1487053811 31401,4117758994 51734,6721112769 50229,6378962719 32353,6978368027
53322,6944915119 51094,096463613 21478,2687417166 51834,2654461815 50449,5569076185 30892,7311926583
53322,6944915119 51235,5360515963 32396,4236303487 51937,702972209 50616,341885453 33977,0821317723
53322,6944915119 51387,3218096566 34787,7189128595 52051,4750315081 50744,3707012548 33706,7989199503
54071,4113212772 51668,9194494529 30141,3037880212 52182,9751604065 50879,157796762 36932,1737038435
54071,4113212772 51850,7070689729 35057,9294083648 52490,0945817182 51082,8048488916 35880,1357959739
54071,4113212772 51983,9482692254 25472,7135473355 52723,1936373682 51143,1773397205 33706,7989199503
54213,2304859598 52142,2313348497 34519,7165471527 52739,9641188913 51317,76674356 35821,2179408201
54074,9550538049 52533,49745515 33134,1717613797 54213,2304859598 52418,4956940819 33809,7940851896
54183,3019897208 52662,6133722348 28512,5440762436 54229,9545934882 52547,6758927874 33562,7046367852
54277,8146989328 52728,2365082863 28561,8850746996 55333,8133313162 52779,1050881188 35512,4637023041
54466,0029597566 52925,8579776408 22706,3885785061 55333,8133313162 52968,4027501396 35515,3933535842
54580,2519734218 53106,9095513463 29914,5077986943 55346,7923251735 53045,9413323591 36593,2282623372
54678,794479063 53368,7950604044 31101,6543576922 55582,1388523913 53184,5471711342 37326,2199918353
55460,9320314001 53550,8428159853 28810,0387690399 55582,1388523913 53267,7090529265 36658,6301286753
55575,1810450653 53757,8820664537 36229,4763248045 55600,451307911 53333,0255003232 36826,7811881511
55581,6072328724 53839,8320739537 33683,8174797689 55600,451307911 53432,6223168755 36894,3566278788
55581,6072328724 53955,22670403 36151,9127795485 55677,7860103942 53562,2231010014 36897,0649875887
55581,6072328724 54058,3373870315 31758,210543463 55763,4070715568 53664,2248833843 37357,9031315438
55630,5046690148 54181,6368903944 39801,2150235979 56043,8029931045 53798,0133425724 37716,5070483318
55630,5046690148 54303,2524849111 37640,8680102008 56043,8029931045 53909,2192910501 38011,3117251385
55635,4724925048 54405,1474822294 37197,6883665234 56137,7988051162 53971,4180793594 36789,8104983159
55758,931018183 54508,2220917547 34455,3565912153 56137,7988051162 54067,1853422633 39634,0866498043
55854,9554986335 54571,3500135341 39237,0741881564 56138,2434307497 54121,1779754285 36547,0367467365
56024,9322052367 54683,6506159794 35849,9432221699 56385,4357783267 54212,4457904466 38555,4316547971
56280,4340107244 54823,2592511002 31321,2806044505 56385,4357783267 54306,3899165837 39228,2191391843
56280,4340107244 54870,9225096415 38269,2382907195 56471,0996337168 54369,9957256188 37479,9545469125
56478,4663805059 54984,0064221255 33072,3060664087 56552,7971608479 54404,14299026 37096,7941428534
56552,7971608479 55127,4869374805 38548,1977019489 56478,4663805059 55194,1528117886 37791,2436538997
56825,0773038054 55241,8972151094 38048,6531977304 56609,7396934725 55294,865141614 39486,7844171574
56941,6630876913 55343,4886940109 37539,3039787472 56609,7396934725 55296,5571476206 39967,765303763
56946,5148103719 55414,8757732871 41625,3712411866 56724,5687370387 55398,9705474163 41340,8142917105
56952,5291037372 55459,429265876 37662,9663077463 56794,2617891661 55484,5960512988 37922,207970596
56952,5291037372 55591,6672575454 39751,656362998 56794,2617891661 55495,5639068607 42077,2345115506
56984,3079483217 55660,5151630201 34313,0215957741 56901,7311858312 55581,3925477249 39378,499404194
56997,9115928147 55702,3523944301 30548,8275639331 57220,862029863 55699,1987533229 39727,6994292703
57132,3610358864 55784,1382032765 36213,0951972656 57220,862029863 55729,6821406 39190,7934008942
57135,8154639058 55829,7491539348 40652,9829834416 57220,862029863 55782,007688372 40254,1430860209
57470,6580859615 55922,0134844946 41184,8447912892 57261,4223270223 55809,2696475279 38344,2695742461
57470,6580859615 55971,7993949273 42673,1590445093 57285,9112131515 55879,1409549822 41170,6589505278
57495,2852938184 56008,4447657498 36371,6344033101 57285,9112131515 55914,0223711898 40340,7774661701
57495,2852938184 56072,3228757779 37624,959815696 57319,0300164418 55959,9081316127 41022,7483695785
57495,2852938184 56131,177480728 37343,5884570978 57319,0300164418 56015,1709322973 39536,5652713036
57495,2852938184 56155,2439681844 40210,1218074612 57319,0300164418 56044,0762665084 39023,5203688132
57495,2852938184 56207,2499827516 43018,8372115547 57343,518902571 56068,0933727854 40202,1348506847
57495,2852938184 56216,7342973411 36399,7291159399 57384,0791997303 56130,0872050618 40281,840486347
57495,2852938184 56240,592082719 35736,7902571682 57607,0221661803 56194,0125313659 40449,8534078648
57589,0336021647 56278,8481620458 37875,644820621 57607,0221661803 56239,9964548385 40412,2336840823
58072,456201414 56601,5019514427 34821,895225656 57628,4331156383 56478,0295341272 40765,9714567722
58072,456201414 56663,1542127659 41185,0877609392 57628,4331156383 56474,5068965875 40162,7045947285
58138,2393260714 56714,2523388197 35508,9960695283 57685,4921755982 56523,8882908215 39217,0353310259
58138,2393260714 56775,2101654654 43994,4542712423 57722,1814239846 56577,1202403752 40883,1683694916
58138,2393260714 56857,2138863669 45364,1807238584 57818,6399974181 56656,4604772325 40449,8534078648
58201,7827592712 56904,2052752623 36170,4382902924 57818,6399974181 56693,0723414974 40561,9228078948
58201,7827592712 56941,3256637816 42438,2755597917 57818,6399974181 56705,0274685133 40285,2059391598
58367,213023747 56965,8209508531 43941,4797022667 57898,8368091828 56731,0329265175 38918,0558980067
58367,213023747 56968,3273474883 36659,1690368085 57898,8368091828 56768,2418219587 40259,8693869429
58789,2880501759 57075,168188703 40768,8990008283 57898,8368091828 56812,8169688964 40410,5965441521
58789,2880501759 57079,2172908247 33177,0596902419 57898,8368091828 56825,347056441 40971,6195623593
58789,2880501759 57133,9298408101 35619,861446343 57898,8368091828 56838,0783395874 39528,5056402253
58789,2880501759 57155,9983302623 42328,0785464583 57953,7218444575 56892,5133799494 39494,3097966522
58858,6024649536 57166,6997342331 39558,0160997961 58078,5354999455 57008,9437119158 40753,3392504547
58858,6024649536 57231,6405037663 39077,5694088073 58078,5354999455 57032,3785308301 40849,7423148103
58789,2880501759 57252,5000747334 41156,6577831242 58078,5354999455 57058,1650845993 39647,1461710685
59109,9342286815 57304,8449724121 42105,0471018623 58087,0647236121 57060,5479703996 40849,7423148103
59109,9342286815 57362,5104168839 40726,9567227631 58194,3854479409 57082,07005373 39660,7637213974
59109,9342286815 57383,1931157352 40208,2658006572 58194,3854479409 57109,4704150356 40998,5411306759
59292,7467484863 57416,8719891674 43480,5632532822 58194,3854479409 57118,4875414978 40896,3803294979
59109,9342286815 57557,9666441779 39819,5118497438 59292,7467484863 57661,8864425014 42523,4209145023
59109,9342286815 57584,4029399452 40299,5708880179 59292,7467484863 57676,0629802061 39234,1898177412
59109,9342286815 57613,6335627322 43017,262850303 59292,7467484863 57690,0539363996 42382,4694557119
59109,9342286815 57638,1240001273 41958,7322436445 59294,3696035274 57703,2332527068 40513,1567994073
59109,9342286815 57638,6119859118 40186,4807599831 59294,3696035274 57714,5474807499 39234,1898177412
59109,9342286815 57638,6119859118 46256,0662482845 59294,3696035274 57765,8393016771 35984,5171747715
59292,7467484863 57664,3197323902 40175,5337968393 59294,3696035274 57771,018795376 43483,2422420839
59292,7467484863 57734,5196850009 42472,100941638 59294,3696035274 57785,8683463946 38044,6457439419
59313,0573202548 57737,4036645444 40175,5337968393 59294,3696035274 57828,5170289813 40048,4435118392
59313,0573202548 57764,9933725729 40299,5708880179 59313,5752779037 57847,8605006344 40077,637591066
59313,0573202548 57764,9933725729 41156,7861403263 59313,5752779037 57870,5519724889 36069,4110232179
59313,0573202548 57765,4218247912 41116,1877460586 59365,1657721537 57887,190777113 41378,1196334334
59313,0573202548 57787,5665578995 41116,1877460586 59365,1657721537 57901,577106488 38096,4406809303
59313,0573202548 57794,5722907995 41594,8400444401 59393,8913859857 57931,5216124012 41407,3573551798
59313,0573202548 57824,304265731 41977,5103110935 59393,8913859857 57976,077820737 39761,3912349997
59313,0573202548 57829,9131723192 41455,6003276851 59393,8913859857 57988,5170513186 42106,7446898796
59313,0573202548 57829,9131723192 42540,68258373 59393,8913859857 58033,6452425779 38303,8415066123
59313,0573202548 57878,9737803259 41046,897441845 59393,8913859857 58051,2748880987 34985,0179880442
59313,0573202548 57894,0484924775 43719,0385874911 59414,6608794076 58069,3474963423 32657,8571291325
59313,0573202548 57903,0362574707 40483,3275133486 59414,6608794076 58080,4208575054 38691,1862589845
59507,0718414118 58250,8492229109 45397,7070281118 59414,6608794076 58121,0467096368 38224,1317366454
59536,2406740712 58262,0404307474 41286,1231475329 59414,6608794076 58171,1203352933 35573,3760600418
59536,2406740712 58285,5081571225 42200,3202409361 59499,0026044362 58179,9433458866 32015,9644046272
59539,4643950766 58297,120005283 40813,1401652675 59499,0026044362 58193,5049831618 35573,3760600418
59539,4643950766 58301,3399072981 44164,7285122026 59499,0026044362 58203,1929266496 36581,4310794751
59641,3518925216 58322,4431677605 41179,9569392776 59519,7720978581 58230,1275163667 38303,8415066123
59641,3518925216 58349,7404674113 39068,2107887904 59521,7261077315 58228,2742492306 35573,3760600418
59641,3518925216 58351,656788115 42025,3966314681 59521,7261077315 58242,0792997161 38691,1862589845
59641,3518925216 58374,4095764825 44009,1242527381 59521,7261077315 58260,6949431714 32015,9644046272
59641,3518925216 58374,6821328175 42280,307672149 59521,7261077315 58257,7272281038 39248,1247078468
59641,3518925216 58379,5518507876 39211,6443995836 59521,7261077315 58262,2428691226 32657,8571291325
59641,3518925216 58381,1084907809 42455,9099490379 59521,7261077315 58268,759496233 36556,6816789333
59641,3518925216 58381,9124471415 44223,2477034002 59521,7261077315 58270,5657691057 37094,3083204272
59641,3518925216 58398,5001684681 43552,1217693424 59521,7261077315 58270,5657691057 40394,9976802321
59641,3518925216 58398,5001684681 46113,3608410432 59521,7261077315 58271,8586914847 36604,310547887
